real.type	inferred	val	sim	noff	alf	prior	est	real	ratio	id	noff2	type
Known full-siblings	Inferred full-siblings	0.8125	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.1875	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.730337078651685	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0147809025506867	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.269662921348315	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.985219097449313	34	125	uniform	no prior	114	175	0.651428571428571	off_125@no prior@uniform@34	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.925925925925926	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.02	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0740740740740741	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.84	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00821627352239597	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.14	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.991783726477604	17	125	uniform	no prior	99	115	0.860869565217391	off_125@no prior@uniform@17	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.932432432432432	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0675675675675676	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.873239436619718	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00730023891691001	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.126760563380282	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.99269976108309	87	125	uniform	no prior	98	111	0.882882882882883	off_125@no prior@uniform@87	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.921052631578947	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.0789473684210526	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.728476821192053	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.00704506181044796	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.271523178807947	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.992954938189552	10	125	uniform	no prior	100	108	0.925925925925926	off_125@no prior@uniform@10	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.8	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0.0175438596491228	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred full-siblings	0	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred half-siblings	0.2	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred half-siblings	0.56140350877193	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred half-siblings	0.0148572918024241	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred unrelated	0	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred unrelated	0.421052631578947	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Unrelated	Inferred unrelated	0.985142708197576	85	125	uniform	no prior	120	175	0.685714285714286	off_125@no prior@uniform@85	Offspring sampled = 125	uniform no prior
Known full-siblings	Inferred full-siblings	0.782608695652174	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
Known half-siblings	Inferred full-siblings	0	8	125	uniform	no prior	116	162	0.716049382716049	off_125@no prior@uniform@8	Offspring sampled = 125	uniform no prior
